,screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users
10,Sir_JayGachara,Sir James,2578341675,1157635527115509762,/Sir_JayGachara/status/1157635527115509762,2019-08-03 12:53:12,1564836792,"@Safaricom_Care Guys, hi! Ssup with yo home fibre net.. It's annoyingly slow. Kindly do something about it.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""320662182"" dir=""ltr"" href=""/Safaricom_Care""><s>@</s><b><strong>Safaricom</strong>_Care</b></a> Guys, hi! Ssup with yo <strong>home</strong> <strong>fibre</strong> net.. It's annoyingly slow. Kindly do something about it.</p>",[],[],False,[],,0,0,1,True,False,,[]
11,SafaricomPLC,Safaricom PLC,117685967,1157515190344278016,/SafaricomPLC/status/1157515190344278016,2019-08-03 04:55:01,1564808101,"Safaricom Home was in Kisumu City, and we announced some great news! All our new subscribers get Home Fibre 50% OFF for 2 months when you join from now to 30th Sep. Visit https://www.safaricom.co.ke/home/  #FeelsGoodToBeHome. Ts and Cs apply.pic.twitter.com/UBoM6n4YYa","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>Safaricom</strong> <strong>Home</strong> was in Kisumu City, and we announced some great news! All our new subscribers get <strong>Home</strong> <strong>Fibre</strong> 50% OFF for 2 months when you join from now to 30th Sep. Visit <a class=""twitter-timeline-link"" data-expanded-url=""https://www.safaricom.co.ke/home/"" dir=""ltr"" href=""https://t.co/fWamN4Hm5x"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.safaricom.co.ke/home/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">safaricom.co.ke/home/</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/FeelsGoodToBeHome?src=hash""><s>#</s><b>FeelsGoodToBeHome</b></a>. Ts and Cs apply.<a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/UBoM6n4YYa"">pic.twitter.com/UBoM6n4YYa</a></p>",['https://www.safaricom.co.ke/home/'],['FeelsGoodToBeHome'],True,"['https://pbs.twimg.com/media/EBBR6gqX4AAhpl4.jpg', 'https://pbs.twimg.com/media/EBBR6gqXYAASz6W.jpg', 'https://pbs.twimg.com/media/EBBR6gqXsAERtp7.jpg', 'https://pbs.twimg.com/media/EBBR6ikXYAEvRpR.jpg']",,22,2,5,True,False,,[]
12,ElonArab,ThatGuy...kip,597570347,1157382874628317184,/ElonArab/status/1157382874628317184,2019-08-02 20:09:15,1564776555,Hi @Safaricom_Care you seems to be rewarding only new customers and domant customers of home fibre while the loyal ones are left out... This is unfair and very discouraging to loyal customers Iam not happy at all.. Look into it b4 we think otherwise,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Hi <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""320662182"" dir=""ltr"" href=""/Safaricom_Care""><s>@</s><b><strong>Safaricom</strong>_Care</b></a> you seems to be rewarding only new customers and domant customers of <strong>home</strong> <strong>fibre</strong> while the loyal ones are left out... This is unfair and very discouraging to loyal customers Iam not happy at all.. Look into it b4 we think otherwise</p>",[],[],False,[],,1,0,0,False,False,,[]
13,tryKuria,david kuria,56706043,1157377586160427008,/tryKuria/status/1157377586160427008,2019-08-02 19:48:14,1564775294,@Safaricom_Care You guys really have to do something about your home fibre. It has become completely horrendous. I'm so tired of calling customer care for them to restart it. It's terrible!!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""320662182"" dir=""ltr"" href=""/Safaricom_Care""><s>@</s><b><strong>Safaricom</strong>_Care</b></a> You guys really have to do something about your <strong>home</strong> <strong>fibre</strong>. It has become completely horrendous. I'm so tired of calling customer care for them to restart it. It's terrible!!</p>",[],[],False,[],,1,0,1,True,False,,[]
14,spazzle_,𝓢𝓹𝓪𝔃𝔃𝓵𝓮 😷 🇰🇪,41331829,1157278010120253440,/spazzle_/status/1157278010120253440,2019-08-02 13:12:33,1564751553,Rip-Off: Users Share Shocking Photos Showing Safaricom Home Fibre Slow Internet Speeds - https://www.cnyakundi.com/rip-off-users-share-shocking-photos-showing-safaricom-slow-internet-speeds/ …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Rip-Off: Users Share Shocking Photos Showing <strong>Safaricom</strong> <strong>Home</strong> <strong>Fibre</strong> Slow Internet Speeds - <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.cnyakundi.com/rip-off-users-share-shocking-photos-showing-safaricom-slow-internet-speeds/"" dir=""ltr"" href=""https://t.co/Mkf0mQtO9J"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.cnyakundi.com/rip-off-users-share-shocking-photos-showing-safaricom-slow-internet-speeds/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">cnyakundi.com/rip-off-users-</span><span class=""invisible"">share-shocking-photos-showing-safaricom-slow-internet-speeds/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://www.cnyakundi.com/rip-off-users-share-shocking-photos-showing-safaricom-slow-internet-speeds/'],[],False,[],,0,0,2,True,False,,[]
15,spazzle_,𝓢𝓹𝓪𝔃𝔃𝓵𝓮 😷 🇰🇪,41331829,1157277169472679942,/spazzle_/status/1157277169472679942,2019-08-02 13:09:13,1564751353,Safaricom Owes an Explanation to its Customers for Inconsistent Home Fibre Services https://techweez.com/2018/12/03/safaricom-home-fibre-issues/ …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>Safaricom</strong> Owes an Explanation to its Customers for Inconsistent <strong>Home</strong> <strong>Fibre</strong> Services <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://techweez.com/2018/12/03/safaricom-home-fibre-issues/"" dir=""ltr"" href=""https://t.co/3JDafBPhlu"" rel=""nofollow noopener"" target=""_blank"" title=""https://techweez.com/2018/12/03/safaricom-home-fibre-issues/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">techweez.com/2018/12/03/saf</span><span class=""invisible"">aricom-home-fibre-issues/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://techweez.com/2018/12/03/safaricom-home-fibre-issues/'],[],False,[],,0,1,0,False,False,,[]
16,ojurefred,Fredrick Ojure,826063671273074688,1157196390700847104,/ojurefred/status/1157196390700847104,2019-08-02 07:48:13,1564732093,Move to Safaricom Home Fibre. Constantly on.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Move to <strong>Safaricom</strong> <strong>Home</strong> <strong>Fibre</strong>. Constantly on.</p>",[],[],False,[],,1,0,1,True,True,1157169277914550272,"[{'screen_name': 'jiminskie', 'user_id': '391313893'}, {'screen_name': 'Zuku_WeCare', 'user_id': '624612122'}]"
17,Starlight_Bo,Dr. Nelly Bosire,278994237,1157180107179663360,/Starlight_Bo/status/1157180107179663360,2019-08-02 06:43:31,1564728211,Dear @Safaricom_Care is there a specific reason why your *400# for renewing home fibre subscription hasn't worked for the past year? I shouldn't be forced to download your app to make payment. Please sort this out. Thanks.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Dear <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""320662182"" dir=""ltr"" href=""/Safaricom_Care""><s>@</s><b><strong>Safaricom</strong>_Care</b></a> is there a specific reason why your *400# for renewing <strong>home</strong> <strong>fibre</strong> subscription hasn't worked for the past year? I shouldn't be forced to download your app to make payment. Please sort this out. Thanks.</p>",[],[],False,[],,1,0,2,True,False,,[]
18,mkenyaboyz,3STARGENERAL,208121035,1156952756676157448,/mkenyaboyz/status/1156952756676157448,2019-08-01 15:40:06,1564674006,What is securenet on home Fibre network which is being charged @SafaricomPLC @Safaricom_Carepic.twitter.com/dgd7fYkcol,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">What is securenet on <strong>home</strong> <strong>Fibre</strong> network which is being charged <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""117685967"" dir=""ltr"" href=""/SafaricomPLC""><s>@</s><b>SafaricomPLC</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""320662182"" dir=""ltr"" href=""/Safaricom_Care""><s>@</s><b><strong>Safaricom</strong>_Care</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/dgd7fYkcol"">pic.twitter.com/dgd7fYkcol</a></p>",[],[],True,['https://pbs.twimg.com/media/EA5SZIvXUAItJTu.jpg'],,0,0,2,True,False,,[]
19,victormutai,98°,197417854,1156896653410013184,/victormutai/status/1156896653410013184,2019-08-01 11:57:10,1564660630,"@SafaricomPLC @Safaricom_Care Hi, I was told that my home fibre will be sorted in a few mins. it's been 2 hrs.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""117685967"" dir=""ltr"" href=""/SafaricomPLC""><s>@</s><b>SafaricomPLC</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""320662182"" dir=""ltr"" href=""/Safaricom_Care""><s>@</s><b><strong>Safaricom</strong>_Care</b></a> Hi, I was told that my <strong>home</strong> <strong>fibre</strong> will be sorted in a few mins. it's been 2 hrs.</p>",[],[],False,[],,0,0,1,True,False,,[]
20,Kinyua_Ngugi,Kinyua Ngugi,825938918,1158069844887187457,/Kinyua_Ngugi/status/1158069844887187457,2019-08-04 17:39:01,1564940341,@Safaricom_Care. I have not being able to access home fibre for the past few hours,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""320662182"" dir=""ltr"" href=""/Safaricom_Care""><s>@</s><b><strong>Safaricom</strong>_Care</b></a>. I have not being able to access <strong>home</strong> <strong>fibre</strong> for the past few hours</p>",[],[],False,[],,0,0,1,True,False,,[]
21,MullaJames,james mulla,2991661769,1158019548643282944,/MullaJames/status/1158019548643282944,2019-08-04 14:19:10,1564928350,@SafaricomPLC poor customer care ever from Thursday i gave my http://no.to  you to call me about safaricom home fibre then yesterday you guys said 24hrs how many days have passed ?,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""117685967"" dir=""ltr"" href=""/SafaricomPLC""><s>@</s><b>SafaricomPLC</b></a> poor customer care ever from Thursday i gave my <a class=""twitter-timeline-link"" data-expanded-url=""http://no.to"" dir=""ltr"" href=""https://t.co/gGT2ZUqvqL"" rel=""nofollow noopener"" target=""_blank"" title=""http://no.to""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">no.to</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> you to call me about <strong>safaricom</strong> <strong>home</strong> <strong>fibre</strong> then yesterday you guys said 24hrs how many days have passed ?</p>",['http://no.to'],[],False,[],,0,0,1,True,False,,[]
22,VMageka,Vivy :),490216188,1157969000489504768,/VMageka/status/1157969000489504768,2019-08-04 10:58:18,1564916298,@Safaricom_Care Hi my home fibre hasnt been working since yesterday morning acc no 11016959 please assist,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""320662182"" dir=""ltr"" href=""/Safaricom_Care""><s>@</s><b><strong>Safaricom</strong>_Care</b></a> Hi my <strong>home</strong> <strong>fibre</strong> hasnt been working since yesterday morning acc no 11016959 please assist</p>",[],[],False,[],,0,0,1,True,False,,[]
23,sackie84,Isaac,122393420,1157961337118625792,/sackie84/status/1157961337118625792,2019-08-04 10:27:51,1564914471,"@Safaricom_Care I activated my fibre home today. When I check I find my balance at 0. Please check and advise Asap. Find confirmation message below.
Your Safaricom Home Fibre service has been activated. Your account number is 11141378. Expiry date 2019-09-04 06:50:13.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""320662182"" dir=""ltr"" href=""/Safaricom_Care""><s>@</s><b><strong>Safaricom</strong>_Care</b></a> I activated my <strong>fibre</strong> <strong>home</strong> today. When I check I find my balance at 0. Please check and advise Asap. Find confirmation message below.
Your <strong>Safaricom</strong> <strong>Home</strong> <strong>Fibre</strong> service has been activated. Your account number is 11141378. Expiry date 2019-09-04 06:50:13.</p>",[],[],False,[],,0,0,1,True,False,,[]
24,KarwithaME,Ka Rwitha,724505742,1157944737149706240,/KarwithaME/status/1157944737149706240,2019-08-04 09:21:53,1564910513,@Safaricom_Care . What charges have you added to your home net? What is secure net? What is the 200 for? My fibre was okay without what you are calling secure net. Can I have my money back?? pic.twitter.com/6fxChFf0aP,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""320662182"" dir=""ltr"" href=""/Safaricom_Care""><s>@</s><b><strong>Safaricom</strong>_Care</b></a> . What charges have you added to your <strong>home</strong> net? What is secure net? What is the 200 for? My <strong>fibre</strong> was okay without what you are calling secure net. Can I have my money back?? <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/6fxChFf0aP"">pic.twitter.com/6fxChFf0aP</a></p>",[],[],True,['https://pbs.twimg.com/media/EBHYmbzXkAIoecC.jpg'],,0,0,1,True,False,,[]
25,Sidneysyddo,sidney sydo apinde,355533703,1157908708787150849,/Sidneysyddo/status/1157908708787150849,2019-08-04 06:58:43,1564901923,"@Safaricom_Care Hello when will the safaricom Home Fibre get to Upperhill(residential area behind Don Bosco church /Raddison Blu)
Was told wifi services only available to offices but not homes,we are suffering Zuku fibre is pathetic!!","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""320662182"" dir=""ltr"" href=""/Safaricom_Care""><s>@</s><b><strong>Safaricom</strong>_Care</b></a> Hello when will the <strong>safaricom</strong> <strong>Home</strong> <strong>Fibre</strong> get to Upperhill(residential area behind Don Bosco church /Raddison Blu)
Was told wifi services only available to offices but not <strong>homes</strong>,we are suffering Zuku <strong>fibre</strong> is pathetic!!</p>",[],[],False,[],,0,0,1,True,False,,[]
26,victoriawokabi,TinyOne,882574212,1157893738842247170,/victoriawokabi/status/1157893738842247170,2019-08-04 05:59:14,1564898354,"@Safaricom_Care , please tell Home fibre to stop texting me even after I wrote an email and spoke to their consultant about how I can no longer use their services. I know letting go is hard, but I'll be back.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""320662182"" dir=""ltr"" href=""/Safaricom_Care""><s>@</s><b><strong>Safaricom</strong>_Care</b></a> , please tell <strong>Home</strong> <strong>fibre</strong> to stop texting me even after I wrote an email and spoke to their consultant about how I can no longer use their services. I know letting go is hard, but I'll be back.</p>",[],[],False,[],,0,0,1,True,False,,[]
27,Safaricom_Care,Safaricom Care,320662182,1157788528870330368,/Safaricom_Care/status/1157788528870330368,2019-08-03 23:01:10,1564873270,"Hi Robert, DM http://bit.ly/2lNteGi   your phone number we check. If it's home fibre connection, share your account number. ^GB","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Hi Robert, DM <a class=""twitter-timeline-link"" data-expanded-url=""http://bit.ly/2lNteGi"" dir=""ltr"" href=""https://t.co/jF6LqBUAqM"" rel=""nofollow noopener"" target=""_blank"" title=""http://bit.ly/2lNteGi""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">bit.ly/2lNteGi</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a>  your phone number we check. If it's <strong>home</strong> <strong>fibre</strong> connection, share your account number. ^GB</p>",['http://bit.ly/2lNteGi'],[],False,[],,0,0,0,False,True,1157787841759449088,"[{'screen_name': 'mangi_kibonde', 'user_id': '2953582929'}]"
28,bonniesupreme,Bonventure Maingi,242686638,1157732919118585856,/bonniesupreme/status/1157732919118585856,2019-08-03 19:20:12,1564860012,@Safaricom_Care no connection o my home fibre..is there a cut A/C 11033089,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""320662182"" dir=""ltr"" href=""/Safaricom_Care""><s>@</s><b><strong>Safaricom</strong>_Care</b></a> no connection o my <strong>home</strong> <strong>fibre</strong>..is there a cut A/C 11033089</p>",[],[],False,[],,0,0,1,True,False,,[]
29,BillBlessed,Nu Imhotep,1114049475490795520,1157714550369738752,/BillBlessed/status/1157714550369738752,2019-08-03 18:07:12,1564855632,Hi @Safaricom_Care home fibre is lagging... :(,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Hi <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""320662182"" dir=""ltr"" href=""/Safaricom_Care""><s>@</s><b><strong>Safaricom</strong>_Care</b></a> <strong>home</strong> <strong>fibre</strong> is lagging... :(</p>",[],[],False,[],,0,0,1,True,False,,[]
30,Sir_JayGachara,Sir James,2578341675,1157635527115509762,/Sir_JayGachara/status/1157635527115509762,2019-08-03 12:53:12,1564836792,"@Safaricom_Care Guys, hi! Ssup with yo home fibre net.. It's annoyingly slow. Kindly do something about it.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""320662182"" dir=""ltr"" href=""/Safaricom_Care""><s>@</s><b><strong>Safaricom</strong>_Care</b></a> Guys, hi! Ssup with yo <strong>home</strong> <strong>fibre</strong> net.. It's annoyingly slow. Kindly do something about it.</p>",[],[],False,[],,0,0,1,True,False,,[]
